time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-07-19 05:00:00,2018.0,7.0,19.0,5.0,1.19,9.09,6.3,177.0,1013.6,16.2,19.1,4.3625792699999995
2018-07-19 06:00:00,2018.0,7.0,19.0,6.0,1.18,7.14,6.3,184.0,1013.7,15.9,19.2,4.289566679999999
2018-07-19 07:00:00,2018.0,7.0,19.0,7.0,1.26,8.33,6.58,170.0,1014.0,16.0,19.2,5.108293512
2018-07-19 08:00:00,2018.0,7.0,19.0,8.0,1.15,7.69,6.5,178.0,1014.5,16.7,19.2,4.203566249999999
2018-07-19 09:00:00,2018.0,7.0,19.0,9.0,1.04,8.33,6.06,150.0,1015.1,16.8,18.9,3.2051485439999996
2018-07-19 10:00:00,2018.0,7.0,19.0,10.0,1.0,7.69,5.92,182.0,1015.4,15.6,18.5,2.89488
2018-07-19 11:00:00,2018.0,7.0,19.0,11.0,1.06,7.69,6.26,173.0,1016.2,15.1,16.8,3.4394969040000003
2018-07-19 12:00:00,2018.0,7.0,19.0,12.0,1.07,7.69,6.21,175.0,1016.9,15.1,16.6,3.4767063809999996
2018-07-19 13:00:00,2018.0,7.0,19.0,13.0,0.95,8.33,6.09,181.0,1017.3,14.8,16.5,2.6876540249999996
2018-07-19 14:00:00,2018.0,7.0,19.0,14.0,0.96,7.69,6.04,160.0,1017.9,16.2,18.1,2.722000896
2018-07-19 15:00:00,2018.0,7.0,19.0,15.0,0.89,7.14,5.68,154.0,1018.2,18.5,19.5,2.200073592
2018-07-19 16:00:00,2018.0,7.0,19.0,16.0,0.89,7.69,5.83,148.0,1018.4,19.3,20.0,2.2581741269999998
2018-07-19 17:00:00,2018.0,7.0,19.0,17.0,0.88,8.33,6.15,156.0,1018.3,17.5,20.2,2.3288918400000003
2018-07-19 18:00:00,2018.0,7.0,19.0,18.0,0.83,8.33,6.22,170.0,1018.1,19.1,20.3,2.0953444619999995
